peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,height,width,average,type
-54.71188657301644,-43.05649446331447,-53.14489841410999,259.1945427609072,-54.389384860135344,-53.89187845033085,35756.93822843823,35758.97435897436,7229.47397047397,pos
-37.77299555142528,-33.85592636330614,-36.25432359212256,183.22838113136234,-37.70439071753183,-37.64074490697659,26095.377622377622,26096.0,4478.945901320902,pos
-51.41074771505951,-61.84296988338496,-48.046152245653026,263.869710501942,-51.40766066226118,-51.16217999558317,23054.0,22010.0,2453.7226107226106,pos
-41.32498319642421,-38.42710828978152,-40.629864979527554,202.93108272674445,-41.28064810557343,-41.268478155437656,62112.0,62109.0,11849.78477078477,pos
-53.319533336772786,-70.63136034968178,-50.79167004617587,281.247170222385,-53.29295832025795,-53.211648169496655,31800.0,30735.0,4508.833053613053,pos
-63.492802822498945,-43.19436669264062,-61.35420874444991,295.11616722037405,-63.539131964636624,-63.53565699614813,29442.0,29442.0,5144.938131313132,pos
-51.45481853503016,-41.64471356214947,-50.33509720829465,246.4023611023816,-51.49245320696652,-51.47527858994072,51075.0,51075.0,8315.712898212898,pos
-21.82467658832538,29.028253774743547,-21.18844022488415,57.38697212548083,-21.80234803995534,-21.59976104705951,12237.26634032634,12237.277505827506,2332.793682983683,pos
-56.115251511694645,-41.11690668217808,-54.68801407795164,264.1596941204369,-56.16144076320348,-56.07808108540914,43846.0,37248.0,7428.263403263404,pos
-50.74118138392863,-42.438081444687896,-47.81172326527067,242.34756756533108,-50.648886538239935,-50.707694933203925,17782.0,19730.0,3098.552738927739,pos
-70.15702358743931,-53.062794955039436,-68.61325652157456,331.54356634492444,-69.98065565788944,-69.72983562298161,50779.0,46488.0,7493.474164724164,pos
-47.317614431602735,-107.09915383973818,-39.49038667638113,288.1707151966188,-47.24753732064177,-47.01602292825494,11277.0,7907.0,1037.6694832944834,pos
-56.4376506527869,-43.85353658327343,-54.49232733020243,267.4975447638412,-56.42504493508432,-56.28898526249407,28245.0,31358.0,4213.615093240093,pos
-9.072967896394777,-228.0046921757859,-8.0725008269849,263.28278326989727,-9.142331435751869,-8.990290934980123,78994.0,81044.0,1335.8522727272732,pos
-61.111407479031236,5.437864987040887,-57.79321287328815,235.05169279733482,-60.999111972451274,-60.585825459605104,17196.0,17196.0,3809.4041375291376,pos
