peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,type
-56.115251511694495,-41.11690668217809,-54.68801407795153,264.1596941204365,-56.161440763203345,-56.07808108540906,pos
-50.7411813839285,-42.43808144468782,-47.811723265270594,242.34756756533065,-50.648886538239815,-50.70769493320381,pos
-70.15702358743913,-53.06279495503926,-68.61325652157444,331.54356634492353,-69.98065565788924,-69.72983562298134,pos
-47.31761443160259,-107.09915383973782,-39.49038667638099,288.17071519661783,-47.247537320641605,-47.01602292825481,pos
-56.43765065278701,-43.85353658327351,-54.492327330202535,267.4975447638416,-56.42504493508446,-56.28898526249419,pos
-9.072967896394756,-228.00469217578552,-8.072500826984882,263.282783269897,-9.142331435751865,-8.990290934980097,pos
-61.11140747903126,5.437864987040893,-57.79321287328814,235.05169279733514,-60.999111972451296,-60.585825459605104,pos
-40.25431652425891,-35.93485052949234,-37.16647986305653,193.7537661761539,-40.18805939536861,-40.210059863977584,pos
-40.733933356862664,-152.4797195496496,-39.11684751518651,313.77868886737303,-40.80044405593352,-40.647744389740616,pos
-60.5311255046942,-0.7969912919862457,-58.46698877150034,240.70620546604457,-60.53435219644118,-60.37674770142272,pos
-52.627797887080206,-58.95093919117127,-51.06520632811906,267.7771519853171,-52.623223461614636,-52.50998511733187,pos
-21.775929908726265,-20.764692306080573,-21.256345037028805,107.32110249831412,-21.76222771330718,-21.761907533171325,pos
-56.7103936569713,-31.304626833283127,-55.225936345425914,256.2554434753354,-56.62955847330671,-56.3849281663483,pos
-73.62116722499952,-4.706672676898493,-67.47884911505615,292.08010105549016,-73.5013475244522,-72.77206451408351,pos
-51.591098038811516,-50.881731326099896,-49.57918929733209,254.65617783937083,-51.40717565226146,-51.1969835248658,pos
-56.66498109781299,-50.889249524542436,-53.91063699871392,274.76462659731425,-56.654125858091284,-56.64563311815359,pos
-34.265632903731316,-28.606058060145077,-32.748067020845596,164.06122414941646,-34.19578880973014,-34.24567735496438,pos
-63.31965672736761,-68.62376899361395,-61.55570400313267,320.0531333876773,-63.317016119189354,-63.23698754437364,pos
-55.88854630770114,5.982900410772884,-52.08195150806682,212.8479272276851,-55.7310135676907,-55.129316254999125,pos
-24.44586863591208,-197.25985667979944,-22.961106505242537,293.4746681613066,-24.530599383964695,-24.277236956387604,pos
-52.89254319085786,-41.6503663039402,-50.00624296876752,249.5383680340858,-52.65832218788271,-52.3308933826376,pos
-13.554306907805156,1.8897296885379917,-13.391599774907256,52.12635482447777,-13.56096966188712,-13.509208168416238,pos
-58.78743150472817,-37.958542988038076,-56.213403453411054,267.98874851587925,-58.027759456944274,-57.001611112757814,pos
-84.06124624903926,149.06100513062174,-82.2811083316833,184.96934568413775,-83.97470126644434,-83.71329496759232,pos
-66.8683921462365,-3.0448969360261082,-65.24350136485685,269.0147518539611,-66.95758218278773,-66.90037922405403,pos
-32.95557514359633,-31.502386405566835,-31.729989287954655,161.99731992902366,-32.90333856493458,-32.90603052697126,pos
-66.03855777160841,29.697613910190917,-63.32118976346451,232.03681401179713,-66.21783228564875,-66.15684810126635,pos
-15.518316183392072,-219.83654558493487,-14.437929197957347,280.7791113902019,-15.586982829822176,-15.399337594095092,pos
-91.2820010128452,83.0344110160584,-87.81148010274602,278.7487798851985,-91.43256333496996,-91.25714645069583,pos
-81.80141059958767,61.718194384233485,-80.10008689197481,262.9896665601736,-81.51651245649063,-81.28985099635389,pos
-41.79139087956319,-36.17368224838645,-40.93382110465605,202.35356154003907,-41.73390283041559,-41.720764477017774,pos
-56.185816520071775,-38.43601131286893,-54.770225690169006,261.76781956466766,-56.215366208999136,-56.160399832558824,pos
-47.556263145539226,193.61753035194718,-47.3160996002267,-3.591548999796813,-47.58654638905781,-47.56707221732669,pos
-57.53785848262718,9.256482610060942,-53.33679101304325,215.72538381239968,-57.35164471056095,-56.75557221622927,pos
-53.72645051595282,-32.107938141724595,-53.23369938332347,246.58559244413527,-53.76908312252639,-53.74842128060807,pos
-48.14698985002647,-86.63706576814587,-44.38282087647193,275.35074301937163,-48.176712577313076,-48.00715394741405,pos
-35.38249952223285,-34.54012336457277,-34.31555930448954,174.9180675100735,-35.33960379449752,-35.34028152428083,pos
-56.25068970543399,-63.993436971701726,-53.86633286000571,286.2335596147477,-56.17554373458179,-55.94755634302465,pos
-50.347044380967084,-46.521672693718145,-49.50731054717654,246.29899936892087,-50.11972687603743,-49.80324487102168,pos
-103.75175896029403,229.08609474601326,-101.65708342021223,183.74498475320385,-103.89580179192538,-103.52643532678536,pos
-14.505622630800527,-8.429688619954087,-13.358914110006712,65.27956673375652,-14.499429132041133,-14.485912240954061,pos
-13.078012774458944,-8.300090523874895,-12.737217558397589,59.97733070678724,-12.983127027243189,-12.878882822812649,pos
-44.278329765594265,-38.95293097234138,-38.25571234717733,209.91497157415944,-44.23669801465452,-44.191300474391966,pos
-55.42325472944168,-44.66029176766431,-53.0944050431746,263.1451331980278,-55.146357389381414,-54.820824268365925,pos
-55.45425349648917,-67.09426241039367,-53.98739301358066,287.45284697267687,-55.4869688416894,-55.42996921052404,pos
-56.88531359456512,18.549773092681356,-52.37833698737146,203.5229029753267,-56.732958478870735,-56.07606700720081,pos
-83.19245728814307,125.92565838259752,-81.39058572219362,204.62473572166635,-83.0917153080764,-82.87563578585095,pos
-54.52514073050218,-48.242763604096545,-52.692232868582124,264.39974735285216,-54.52849899132768,-54.411111158343566,pos
-84.75619251610306,153.38418465635644,-83.3539591207799,184.06061323511864,-84.74866960556551,-84.5859766490268,pos
-57.11135442378352,84.83581365489994,-56.14292347412336,142.69788052183696,-57.20445416758994,-57.07496211123998,neg
-66.48794746662905,-43.73914330981091,-65.22426103608015,307.5220731766676,-66.36245597611556,-65.70826538803217,neg
-54.235979222743914,-55.99868920690173,-49.872551502532886,268.37314944631737,-54.146851812072896,-54.11907770206594,neg
-17.74380227550033,-16.86031588149654,-16.962071667124537,86.85062665449436,-17.54134010437417,-17.743096725998736,neg
-47.996970189538004,-46.531711906966805,-46.630520178447185,236.7692862982759,-47.87700726013149,-47.73307676319233,neg
-70.74033802064153,-20.71917479724162,-69.67050087988672,301.21712303060366,-70.6111169741311,-69.47599235870263,neg
-55.43128301162135,-49.53406405223296,-53.66957083796495,268.1028431927662,-55.00252593581013,-54.46539935513711,neg
-67.08728620520174,90.61348333031228,-65.77866340164073,176.43027745763143,-67.19219690503375,-66.98561427606741,neg
-47.819870117807675,-25.632750446233924,-44.91132002551879,214.03136251435328,-47.85944490486334,-47.80797701992963,neg
-74.76231847343016,42.11340578986741,-72.51456378319153,253.13875600711555,-73.80652671109203,-74.16875282926912,neg
-38.3281211992923,-42.54381863646191,-37.06872991923769,194.40232992382906,-38.15379789537262,-38.30786227346452,neg
-73.03279649328236,48.32610400881994,-69.57087150380482,237.09313771059496,-71.12165662191858,-71.69391710040897,neg
-67.29620020316317,-72.39317106297864,-65.50452344827349,339.7217309516214,-67.29103534938045,-67.23680088782564,neg
-60.92598516092184,-41.27222594923474,-58.1148575578155,278.9870869729995,-59.93648167642992,-58.73753662859734,neg
-20.057771767040514,-21.085951081865264,-19.519126459297468,100.77018250131204,-20.05225646520369,-20.055076727905142,neg
-78.47039594276283,-11.617795589089964,-75.30137554946243,321.10181367203893,-78.31740545405873,-77.39484113666484,neg
-60.75342788802141,-44.50163280151597,-58.25408919802689,284.94183263905063,-60.76355111311205,-60.66913163837423,neg
-65.75188195474793,-46.65853783609111,-64.49044576811353,308.43544597253145,-65.7842387258467,-65.7503416877321,neg
-62.62517672397636,-72.41969347107023,-54.496255546519286,314.26450060718474,-62.54393642398272,-62.179438441636215,neg
