peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,new_feature,new_feature2,type
-38.7642008400334,-156.45602265762915,-37.206980824302086,309.8623867225869,-38.82716802446581,-38.60801437615616,1.141584673549186,-209.20429823962783,1
-42.94609421848797,-22.14515223296926,-26.896892975979416,174.95703613929328,-41.67521629104077,-41.293680420815946,1.140222823684449,-98.99696109505001,1
-40.14668389708397,-155.95269167245286,-38.42771873025807,314.82429448478007,-40.21326445334284,-40.08393573164217,1.141603294163555,-220.1368429737895,1
-35.408962359165955,-156.99509762486056,-34.472326345309284,297.13092106992764,-35.44459289123947,-34.80994184935209,1.1414369103970257,-185.45866620505697,1
-57.08561185079055,-32.63879308399651,-54.22030821533716,257.4454974247755,-56.8894215950942,-56.61136267955728,-0.8583669007044024,-127.08327262395062,1
-81.78489445809682,155.94595153788893,-79.68097477141448,168.47508936590904,-81.61344073483718,-81.34173093944955,-0.8583021727022292,-36.820747283139774,1
-68.11506308531457,-36.95836034248774,-66.83370740380727,307.40757762750377,-68.08314893256323,-67.41729786333072,-0.8583550095755234,-158.7189218151772,1
-62.17643425151984,-34.284729654320905,-59.43208112616521,279.3461402052361,-61.99403452168528,-61.458860651544896,-0.8583469935904642,-133.42937107494987,1
-55.26489273596727,-44.65545949979264,-53.732992217706986,262.7443926570811,-54.83351381945919,-54.25753438415513,-0.3607748321230291,-128.7238967162415,1
-52.75111835374553,-41.60818372445928,-49.83075991761158,248.6588087356452,-52.390801422090505,-52.07794531773838,1.1398776287363666,-126.45874631615007,1
-27.49460996444111,-187.956072165534,-25.874249816993643,296.21578168449554,-27.5789508374395,-27.31189890008747,1.1415694439613953,-199.9039872517908,1
-33.26920114064572,-25.27269987081116,-31.524338026981752,156.27526834809618,-33.14420504696308,-33.06482426269444,1.1415928544509957,-90.96378429674385,1
-74.33577824427094,208.7154105407805,-58.100286350741655,73.1656404204028,-74.88029404258258,-74.56469232358813,-0.8580582773171582,657.0496953876811,1
-19.443051255773184,-16.07040594378631,-18.986481393924368,93.2005374926768,-19.27256622483321,-19.428032674359724,1.1416011215760098,84.51606717043799,1
-41.2506016180248,-50.57484812152831,-37.56511269856792,211.6863946438136,-41.157009974318285,-41.13882223137429,1.1416219328013508,-125.4687123824167,1
-54.71188657301653,-43.05649446331456,-53.1448984141101,259.19454276090767,-54.38938486013545,-53.89187845033095,1.0196325376292292,-127.87975433990772,1
-37.77299555142535,-33.85592636330614,-36.2543235921226,183.2283811313625,-37.70439071753188,-37.64074490697664,1.1416092842364434,-117.13858637101603,1
-51.41074771505953,-61.84296988338496,-48.04615224565303,263.86971050194194,-51.40766066226119,-51.16217999558319,1.141447190741041,-129.59866611302118,1
-41.324983196424256,-38.42710828978155,-40.62986497952757,202.93108272674456,-41.28064810557344,-41.2684781554377,1.1416226783207055,-124.39037149510847,1
-53.319533336772736,-70.63136034968178,-50.79167004617582,281.247170222385,-53.292958320257945,-53.21164816949664,1.1384632025745185,-138.78663225869425,1
-63.492802822498646,-43.19436669264047,-61.35420874444964,295.1161672203731,-63.53913196463633,-63.53565699614784,-0.8578295386539582,-145.4625821007916,1
-51.45481853503018,-41.64471356214942,-50.33509720829466,246.4023611023816,-51.49245320696649,-51.47527858994072,1.1406338845088264,-126.38967598126825,1
-21.824676588325413,29.0282537747436,-21.188440224884182,57.3869721254809,-21.80234803995536,-21.599761047059545,1.1415700514276113,347.554005202626,1
-56.115251511694495,-41.11690668217809,-54.68801407795153,264.1596941204365,-56.16144076320335,-56.07808108540906,-0.8516708684419485,-128.81177452799722,1
-50.7411813839285,-42.43808144468782,-47.811723265270594,242.34756756533065,-50.648886538239815,-50.70769493320381,1.1411994081101986,-126.19074090955493,1
-70.15702358743913,-53.06279495503926,-68.61325652157444,331.54356634492353,-69.98065565788924,-69.72983562298134,-0.8583001933101556,-206.80472716439732,1
-47.31761443160259,-107.09915383973782,-39.49038667638099,288.17071519661783,-47.247537320641605,-47.01602292825481,1.1415844642336923,-148.40179966007878,1
-56.43765065278701,-43.85353658327351,-54.492327330202535,267.4975447638416,-56.42504493508446,-56.28898526249419,-0.8556432903129337,-129.76653300424678,1
-9.072967896394756,-228.00469217578552,-8.072500826984882,263.282783269897,-9.142331435751863,-8.990290934980097,1.1415755772701819,-174.41701189380333,1
