0,1,2,type
-81.52211316232373,172.91209609249975,-91.38998293017598,neg
-88.00743475762025,179.98313869293457,-91.97570393531441,neg
-76.47045338121795,147.66479046072357,-71.1943370795057,neg
-90.50292292471208,182.42787465338117,-91.92495172866911,neg
-60.32970262596651,178.91227256304995,-118.58256993708353,neg
-101.8256014339803,204.0051709880651,-102.17956955408474,neg
-83.38034281671763,170.12873263167637,-86.74838981495866,neg
-72.7793924258733,139.84229072786553,-67.06289830199229,neg
-80.9951452462254,176.73110395171759,-95.73595870549217,neg
-19.07954669678302,38.20153403745518,-19.121987340672135,neg
-78.07872328497658,126.43353340478978,-48.35481011981329,neg
-85.09491857293037,181.89376987237458,-96.79885129944422,neg
-8.545211627561306,-131.61666635989477,140.1618779874562,neg
-23.388241974833473,46.86392865868978,-23.475686683856278,neg
-104.74316450000163,207.39058248579036,-102.64741798578882,neg
-69.0936885599353,152.62546942150095,-83.53178086156566,neg
-98.66835576830964,199.12324865137026,-100.45489288306045,neg
-65.05527218341061,132.2332596682198,-67.17798748480925,neg
-97.03405284574356,201.2584344485125,-104.22438160276893,neg
-30.430241612418165,60.434163566047296,-30.003921953629117,neg
-57.94149680253539,161.51040376056648,-103.56890695803116,neg
-47.68125943858509,156.7279233126901,-109.04666387410504,neg
-76.5146155795102,148.34557324540577,-71.8309576658957,neg
-81.67669989102896,134.77916958917237,-53.102469698143466,neg
-86.95474342910313,180.40802945969187,-93.45328603058879,neg
-67.83949617837357,181.11576599214274,-113.27626981376926,neg
-60.9425254289188,121.72634030575736,-60.783814876838605,neg
-27.546256807749618,155.18939786872352,-127.64314106097389,neg
-84.2906024225984,196.00948706060598,-111.71888463800745,neg
-63.741220480927566,-84.47836555172324,148.2195860326508,neg
-52.52205564344902,103.78453675079427,-51.26248110734529,neg
-96.88112460959965,198.62594337287462,-101.74481876327496,neg
-61.84727018690813,126.20787085358715,-64.360600666679,neg
-83.92446729864616,176.10470217902895,-92.18023488038274,neg
-83.2582168937155,179.6810149654287,-96.42279807171327,neg
-86.60589353659037,134.7288933219398,-48.122999785349485,neg
-63.370973229532275,172.55484319515048,-109.18386996561821,neg
