iter	Passed	Remaining
130	53133	352468
131	53535	352035
132	53903	351385
133	54288	350847
134	54641	350113
135	54983	349305
136	55412	349060
137	55766	348339
138	56176	347971
139	56561	347448
140	56940	346895
141	57341	346470
142	57759	346151
143	58125	345523
144	58525	345098
145	58913	344605
146	59296	344081
147	59719	343793
148	60136	343461
149	60532	343017
150	60888	342348
151	61286	341913
152	61676	341437
153	62082	341052
154	62435	340376
155	62847	340021
156	63241	339571
157	63645	339173
158	64064	338859
159	64440	338313
160	64784	337603
161	65188	337209
162	65598	336844
163	65973	336302
164	66492	336494
165	66964	336438
166	67412	336253
167	67872	336129
168	68240	335549
169	68624	335048
170	69048	334744
171	69454	334350
172	69836	333842
173	70254	333507
174	70680	333208
175	71092	332841
176	71506	332483
177	71906	332064
178	72306	331638
179	72682	331111
180	73110	330815
181	73489	330297
182	73890	329880
183	74309	329547
184	74710	329130
185	75132	328805
186	75534	328395
187	75947	328030
188	76334	327550
189	76691	326946
190	77115	326629
191	77525	326253
192	77936	325879
193	78371	325604
194	78766	325163
195	79196	324866
196	79571	324342
197	79926	323743
198	80320	323300
199	80749	322998
200	81164	322637
201	81544	322141
202	81889	321508
203	82300	321131
204	82713	320768
205	83090	320262
206	83513	319931
207	83914	319519
208	84325	319146
209	84708	318664
210	85103	318229
211	85520	317876
212	85937	317523
213	86343	317132
214	86727	316654
215	87125	316234
216	87535	315853
217	87939	315452
218	88349	315071
219	88692	314454
220	89120	314140
221	89529	313758
222	89950	313416
223	90333	312940
224	90729	312512
225	91138	312129
226	91517	311644
227	91915	311223
228	92318	310818
229	92686	310296
230	93086	309884
231	93478	309445
232	93897	309095
233	94302	308698
234	94748	308437
235	95149	308027
236	95589	307740
237	96024	307439
238	96384	306896
239	96767	306431
240	97131	305904
241	97531	305491
242	97921	305047
243	98321	304634
244	98686	304114
245	99088	303710
246	99535	303442
247	99880	302863
248	100319	302568
249	100722	302168
250	101126	301768
251	101485	301234
252	101840	300690
253	102257	300329
254	102644	299883
255	103058	299514
256	103448	299073
257	103855	298684
258	104258	298284
259	104638	297818
260	105055	297454
261	105468	297084
262	105924	296829
263	106319	296405
264	106746	296070
265	107135	295628
266	107495	295110
267	107866	294620
268	108290	294277
269	108678	293834
270	109106	293501
271	109537	293173
272	109918	292713
273	110343	292368
274	110719	291897
275	111120	291490
276	111499	291024
277	111887	290586
278	112305	290222
279	112707	289820
280	113140	289494
281	113550	289111
282	113978	288771
283	114370	288342
284	114737	287851
285	115133	287430
286	115526	287004
287	115945	286643
288	116401	286371
289	116813	285991
290	117227	285615
291	117632	285218
292	117993	284714
293	118435	284406
294	118830	283984
295	119246	283612
296	119590	283071
297	120017	282725
298	120407	282292
299	120799	281865
300	121172	281392
301	121506	280833
302	121888	280384
303	122287	279973
304	122630	279437
305	123036	279044
306	123424	278609
307	123779	278102
308	124150	277632
309	124543	277209
310	124928	276771
311	125333	276376
312	125678	275850
313	126047	275378
314	126455	274990
315	126847	274569
316	127205	274073
317	127582	273620
318	127995	273245
319	128373	272793
320	128781	272405
321	129159	271956
322	129531	271495
323	129963	271158
324	130391	270812
325	130802	270432
326	131215	270056
327	131601	269623
328	132007	269230
329	132398	268808
330	132805	268419
331	133235	268076
332	133638	267678
333	133986	267170
334	134387	266768
335	134787	266366
336	135149	265887
337	135564	265513
338	135923	265031
339	136343	264666
340	136728	264235
341	137108	263793
342	137494	263364
343	137899	262971
344	138289	262550
345	138680	262130
346	139080	261727
347	139471	261307
348	139875	260913
349	140274	260509
350	140706	260166
351	141112	259774
352	141499	259348
353	141881	258913
354	142297	258540
355	142693	258130
356	143110	257758
357	143515	257365
358	143955	257034
359	144358	256637
360	144785	256281
361	145216	255934
362	145646	255583
363	146030	255152
364	146457	254796
365	146821	254330
366	147250	253977
367	147667	253603
368	148126	253299
369	148589	253003
370	149017	252646
371	149454	252305
372	149866	251920
373	150282	251542
374	150717	251196
375	151175	250886
376	151628	250568
377	152036	250175
378	152451	249795
379	152860	249403
380	153290	249046
381	153704	248663
382	154137	248309
383	154493	247832
384	154863	247379
385	155274	246990
386	155692	246614
387	156064	246164
388	156481	245783
389	156859	245344
390	157240	244908
391	157631	244489
392	158000	244036
393	158399	243629
394	158783	243199
395	159146	242738
396	159556	242348
397	159936	241914
